gene,211027_01_S001,211027_02_S001,211027_03_S001,211027_04_S001,211027_05_S001,211027_06_S001,211027_07_S001,211027_08_S001,211027_09_S001,211027_10_S001,211027_11_S001,211027_12_S001,211027_13_S001,211027_14_S001,211027_15_S001,211027_16_S001
caiF,36.41951,33.815485,35.569185,24.973215,38.39883,17.53213,21.50306,10.4130355,28.82763,15.409965,12.817715,24.945325,16.42959,20.93461,63.70788,54.98565
caiE,24.6223,18.877475,18.64623,14.364265,20.324945,12.11357,15.16029,18.208095,9.118705,10.56388,8.408251,7.127648,17.075755,11.534435,5.878214,6.28718
caiD,11.770535,9.3441105,10.337294,8.1197855,12.849185,4.911208,4.6173655,9.132036,5.6623905,6.7313165,5.3452675,5.2454185,11.97348,7.811012,3.2613635,4.371569
caiC,36.155645,34.34052,33.18221,23.163245,42.687855,28.50329,19.161025,31.48396,27.40774,21.04209,15.089215,24.199355,32.16792,39.761455,14.878665,17.170935
caiB,61.99135,51.834715,60.83052,40.905885,67.735165,52.31799,33.152605,56.375035,51.062735,38.54362,26.710465,40.106315,56.44639,68.17463,25.7469,29.315305
caiA,57.54426,47.19308,46.5625,39.795675,58.563645,51.71897,30.09845,57.783725,33.1094,35.921435,22.68127,23.87976,41.521945,49.557895,19.092345,24.94845
caiT,22.376685,20.03891,14.3267085,10.3648,16.19616,15.174258,12.4871625,11.5119925,7.5483635,6.447648,10.627865,8.6211975,7.53088,13.691185,4.900147,3.2445815
fixA,10.90066,7.387188,9.17222,4.713014,9.4333145,7.1976495,4.2728445,6.843454,7.563677,2.675541,7.0664225,4.518268,7.8181415,6.1330805,3.7364375,3.9960945
fixB,10.78991,10.6414,7.5399725,9.1189205,7.116345,7.60687,6.3526035,4.1914815,6.6549415,4.4516095,4.0608695,5.105282,6.4512305,8.2800395,4.735444,4.2077805
fixC,14.55683,13.29386,17.10351,13.27898,12.811885,9.686311,7.311841,10.895133,10.433881,7.8644975,4.9129805,7.033838,14.46844,9.0055635,4.9638885,5.1656605
fixX,24.177905,16.56724,21.08899,16.569905,18.75069,12.551955,8.327958,14.41641,16.58545,14.039735,9.410115,10.25177,20.211445,9.340101,10.034017,9.8622735
yaaU,22.232685,19.56994,12.14625,12.875555,24.000075,16.148715,11.936375,15.19495,9.332359,6.8855775,5.992585,6.005161,16.328325,14.235845,2.760615,4.1154135
kefF,36.55901,37.12114,34.510235,22.375135,43.169335,36.282675,16.25974,23.642275,27.912815,18.881715,17.06358,28.61758,55.37652,22.37632,12.34678,10.10439
kefC,66.34764,60.081935,61.84147,45.6188,82.943665,57.23509,31.411115,45.44809,60.838465,30.69312,26.05972,48.093955,101.312825,27.542525,22.20321,19.386485
folA,825.40615,714.66525,501.0226,324.44845,566.9409,704.34335,292.8796,676.35465,598.47145,367.79695,791.90895,646.74285,841.5375,664.06645,248.93565,164.9751
apaH,435.8624,348.32125,310.527,255.38665,388.387,314.08295,193.9151,443.70935,294.0876,268.6165,218.7383,288.5528,370.82495,395.5857,140.1608,164.34
apaG,977.6551,865.5152,798.35485,641.6774,981.3367,922.9282,554.7339,1276.087,716.3989,613.02805,643.40305,722.7092,1048.127,1132.7825,364.0295,380.2611
ksgA,1107.4,874.0985,775.9085,580.8405,1066.3965,963.85925,479.4018,1357.789,874.6971,661.40445,957.1219,819.1999,1214.953,1263.272,385.40065,374.12205
pdxA,873.0059,700.1704,528.0286,415.0202,831.0473,736.5083,435.6063,817.8989,460.05435,389.7446,448.77085,502.84665,770.7203,721.7563,244.81465,228.74895
surA,1265.8565,1096.446,796.8069,706.037,1422.305,1220.76,658.42285,1055.2245,995.6796,653.9382,809.25245,767.3706,1572.393,850.44725,393.12415,349.18565
imp,1168.842,1220.559,635.59635,525.24095,1305.2465,1235.1325,516.50905,1040.66345,822.13605,504.1515,973.1142,660.19895,1207.9955,950.1034,429.19515,301.9885
djlA,437.1985,353.3306,159.79785,123.04555,413.1625,297.3514,188.3706,239.5336,238.6237,197.79025,274.1822,235.7503,495.3117,222.8223,87.692875,72.832815
yabP,255.2217,215.2588,64.785905,46.72814,221.66375,156.64595,131.54845,121.9607,83.48245,113.708695,143.55395,68.17034,253.8149,77.922205,57.24921,31.850195
yabQ,245.4435,241.6676,116.48375,102.92965,210.03545,184.0954,130.9674,156.2425,138.99395,117.8715,170.4952,85.541555,222.09735,107.490165,90.74786,59.92209
rluA,932.3611,653.15275,532.8448,467.84295,659.89345,530.68895,519.1707,853.6839,341.49175,757.2651,683.4272,502.4843,797.00345,660.45135,178.70465,317.44125
hepA,716.00835,509.6108,445.43795,300.7565,539.14335,474.3856,287.6853,635.8862,239.51835,401.1396,506.462,369.4865,609.909,517.87655,85.888175,174.32445
polB,159.684,125.56265,89.684235,65.36356,152.95695,116.53255,76.191505,131.8479,84.363825,60.663495,89.82652,97.964725,119.70605,140.14565,46.21179,49.5615
araD,13.222825,9.806037,11.16144,10.515415,12.72674,13.11716,6.2314815,10.0414075,15.90857,5.47588,8.7613905,6.4108195,9.821771,8.539546,8.431118,5.953367
araA,26.339545,23.932815,20.19089,15.6794,23.89891,23.18184,11.640845,18.094485,26.49779,10.7413665,10.2800745,16.09275,25.923605,15.773395,10.491225,9.0686965
araB,13.787005,12.753875,13.205255,11.795885,14.77716,11.13235,4.1029535,6.6284005,13.63686,3.613111,6.5581845,6.877317,7.353337,8.6890075,9.1996145,5.322089
araC,206.2532,219.6093,162.78415,98.887565,173.087,149.3809,71.944405,59.762645,128.49625,35.79513,93.22161,56.67725,80.111175,103.276775,38.17976,64.197375
yabI,367.2868,292.3927,155.809,109.4732,282.45025,206.04385,146.38085,188.02845,137.87535,107.89335,146.0883,115.98825,313.19195,182.1229,42.184835,56.778635
thiQ,89.351785,69.247165,69.76691,50.803365,69.18123,41.001495,40.026465,65.053235,49.40436,41.61345,54.518615,44.48939,68.89793,68.538655,16.504785,23.17882
thiP,130.82855,100.538565,88.92308,58.128435,89.707985,56.86038,57.599475,91.974775,60.10496,60.221465,72.376215,60.974885,90.84455,98.55636,25.36592,33.55066
tbpA,235.4558,177.16005,178.42695,131.0054,176.03375,120.67515,112.8124,166.44305,156.22125,120.31685,159.129,100.37112,186.03045,147.26665,54.390065,51.538935
sgrR,99.59639,92.499125,57.329535,46.346325,105.9155,71.469165,41.129155,68.942805,64.6986,37.95131,61.103575,43.769025,94.723625,73.76685,28.21974,24.09392
sgrS,187.4225,217.17105,314.18735,238.371,261.3844,194.34065,98.743435,687.2422,842.2934,234.7099,155.47845,173.04265,273.50005,548.8353,623.6065,11.04714
setA,143.38155,140.075,114.94695,78.783805,143.4172,110.1671,61.91395,163.3391,85.564585,85.102735,89.693475,61.567775,109.1812,135.9271,52.16839,47.572315
leuD,221.32235,188.8484,146.18425,107.596,289.7987,139.6635,89.57009,189.48835,124.9537,115.9852,27.63809,37.02638,91.02713,63.681625,70.218135,34.55335
leuC,160.79115,133.2877,108.79475,87.50198,220.0534,100.12431,75.63707,118.53285,84.21008,78.71127,17.48003,24.514895,51.38652,41.11987,36.59139,21.91834
leuB,175.3857,156.866,106.68095,80.896685,222.35585,117.24975,77.216355,145.5538,88.621485,95.4622,14.18032,28.50814,52.989545,64.191975,40.97324,23.737455
leuA,348.2567,343.17785,141.3934,97.483875,464.1014,190.58255,130.0039,262.35725,115.23925,127.68065,21.070795,37.080705,83.257545,154.76945,51.31154,25.359735
leuL,832.03865,847.6209,636.46965,669.54505,859.7609,785.9907,480.6281,1309.895,1611.4025,989.2067,261.00375,265.47525,460.61935,922.3728,1257.3525,484.21175
leuO,28.18666,27.60088,16.066195,10.55205,35.71014,16.859145,9.9218815,17.20315,6.6134665,5.8586155,8.500154,5.353462,15.04745,14.86631,5.0859185,3.537733
ilvI,100.514885,85.089995,86.351355,67.72784,108.042955,100.55155,54.683475,128.90095,67.435525,90.883045,33.90492,43.9159,80.68371,92.926145,32.90994,32.45108
ilvH,127.3123,127.1773,110.3791,97.21028,168.3381,139.32615,85.90765,137.63165,77.729185,91.53291,38.123495,51.609685,99.35168,108.1865,57.568255,47.93179
fruR,1089.4575,1148.5095,458.12065,333.36525,912.2406,915.7938,320.05445,397.9421,319.67055,190.00295,429.6788,290.88965,645.29725,473.14685,118.9299,208.6994
mraZ,5361.948,4595.5585,3486.759,4336.893,4712.07,3544.9885,3362.3165,4891.7335,6359.993,5219.8935,2612.4355,2731.9635,3579.2035,4643.9875,4219.962,3450.781
mraW,1225.8855,1050.8985,759.0977,595.60115,1088.6355,857.817,493.39765,1153.129,1023.8796,649.0127,634.3196,472.73905,820.8779,943.92005,371.1582,353.8307
ftsL,3602.8355,2544.273,2175.383,2224.392,3107.6,2047.81,2312.0375,2447.555,3301.2705,2553.61,1425.648,1550.3515,2019.863,2187.531,2047.146,1592.985
ftsI,433.8054,386.23805,261.75635,220.45785,439.9217,276.2534,207.06955,375.6012,304.0271,245.3343,221.4171,193.27195,269.8036,321.57815,154.50425,153.437
murE,622.4222,492.6642,462.61685,399.50205,641.0307,434.36385,333.90585,605.4812,664.73415,587.5803,306.7661,336.31525,463.1407,564.92885,302.03665,304.57535
murF,723.87835,599.7997,543.85015,422.0586,773.46025,511.60425,383.0974,690.8435,616.03635,488.71655,343.0154,328.53515,487.99825,575.75965,281.93495,299.2361
mraY,1090.936,981.25085,693.25455,518.98835,1164.491,756.12985,435.17565,924.74565,713.00215,594.21375,499.5377,469.637,692.12365,870.76335,335.97625,319.38935
murD,876.91805,735.2014,644.6232,441.2396,931.92695,624.4696,450.6679,615.92265,562.37055,436.55745,347.47625,367.7512,458.84075,571.0904,268.34735,263.9346
ftsW,1243.18,1081.719,616.6638,431.79655,1348.3905,752.81895,526.5826,955.95395,583.4961,533.4113,506.82605,456.5499,621.3507,865.9317,283.47035,259.8118
murG,1248.6315,1162.7225,826.0639,519.46745,1263.101,831.7111,507.98965,986.6735,759.03415,550.0645,532.2539,505.0432,763.92815,866.67085,273.6294,326.84045
murC,812.48675,660.00945,620.23695,495.5792,809.5998,623.8517,371.2998,773.53845,620.9988,484.08905,408.87515,386.597,595.98065,680.43585,253.15245,293.2089
ddlB,1661.938,1511.677,1333.544,980.92205,1729.634,1305.025,682.33675,1605.388,1164.717,880.7757,844.6261,732.0383,1174.7915,1365.4105,563.707,591.1147
ftsQ,1526.4575,1324.156,988.12765,755.2336,1585.266,1128.3105,684.66775,1287.6315,1024.41475,798.69695,734.6,751.6034,1126.3485,1094.795,506.6514,477.6371
ftsA,1651.827,1395.33,1415.9555,1032.916,1774.7515,1322.108,711.7972,1498.2495,1529.512,941.2385,826.10875,888.38265,1276.5905,1340.592,622.39175,549.9052
ftsZ,3457.9605,2986.404,4512.962,3172.731,3717.5935,3358.9545,1502.4455,4392.654,4616.935,2733.2735,2229.606,2557.9025,4032.9635,3967.601,1800.725,1894.548
lpxC,5850.9515,5122.8965,4751.4705,4104.605,6313.2495,6109.8325,3449.156,6932.838,5396.516,4475.2205,3636.569,4350.6285,4970.904,5642.157,3381.544,2753.6295
secM,1304.929,1196.819,652.19545,426.3058,1420.733,1185.7405,459.1341,1214.3575,758.25125,502.62095,902.6038,732.6765,1128.283,1099.2565,327.41675,278.68345
secA,1191.9,1010.8954,719.99355,548.4844,1402.9385,1009.9569,555.68815,1073.737,824.4535,538.35715,632.4413,586.67635,1001.13025,886.0714,360.3315,312.4119
mutT,124.487585,101.6103,77.022845,54.880035,128.63775,114.002485,69.627515,122.05632,73.65793,55.7961,80.416085,67.28369,103.746865,91.83867,48.12521,27.42106
yacG,1548.9875,1190.315,713.18895,929.2603,1403.762,1113.8155,884.9409,1309.3165,1606.1275,991.34555,1146.019,1101.8365,1908.8625,1119.4705,733.64345,542.29355
yacF,629.5269,596.58325,360.3034,275.15,628.11825,576.52245,244.85245,560.69305,470.2376,286.22625,573.2875,408.4562,770.05375,579.3289,180.60795,142.51215
coaE,430.7477,365.71485,266.44555,197.58375,388.04105,429.11915,218.48325,371.27745,410.54885,220.20505,306.34495,300.5131,508.91115,356.47725,209.58135,133.65925
guaC,1553.9815,1258.725,4068.112,3148.741,1725.3335,1601.783,976.76125,3416.0125,1887.9515,2486.801,1075.128,2230.974,2430.1915,2664.9225,726.9952,1290.273
hofC,39.63066,36.928505,22.2429,15.054715,43.597185,26.949675,20.043445,34.831775,13.88024,13.90755,14.893205,12.38616,17.927725,34.77999,6.4046435,9.6125025
hofB,44.844885,47.78597,32.10182,22.00489,49.942305,32.978965,21.288255,41.43659,23.971605,19.59292,21.541575,16.07719,25.27727,38.33682,13.030655,17.5722
ppdD,14.03741,13.736885,7.1156215,5.2587455,14.27526,11.82768,5.8360805,10.831195,5.1271725,3.4870045,4.9945735,2.7984045,8.263508,9.34194,2.650978,2.356152
nadC,434.10655,402.47765,311.6658,197.8264,483.1806,464.94795,158.89315,338.30885,199.65295,120.45445,245.2724,234.06985,474.8716,311.48325,81.73376,84.52758
ampD,305.66535,325.13655,507.65805,376.1203,337.9365,407.34615,121.3075,553.4514,449.281,205.67875,196.166,163.8646,381.91885,513.2534,210.338,236.5695
ampE,269.4278,253.47505,357.2605,260.85185,295.2761,295.0755,105.5143,417.92145,323.26695,143.2004,145.73535,124.3795,292.5749,381.6085,136.09685,142.7812
aroP,298.25745,276.27545,344.37005,276.3112,335.80425,182.0802,133.22755,401.1494,218.6568,276.32605,91.397225,111.33475,238.46285,353.5755,94.93819,124.25135
pdhR,509.44215,474.902,1098.663,860.365,443.65805,321.54435,242.78895,1324.0085,518.63725,977.05375,1747.718,721.33915,632.0689,1118.905,392.81435,619.14775
aceE,1513.5835,1307.559,5711.452,3765.363,1240.9535,1153.7605,752.02595,3948.0045,1829.792,3073.1075,7167.5515,2286.099,2500.793,3441.212,1639.453,2599.918
aceF,1214.4689,885.664,3796.3365,2217.8405,990.0713,796.4307,565.13395,1748.77,1145.33075,1548.7205,3485.9185,1197.59235,1116.9331,1436.524,950.2458,1325.19995
lpd,7899.5975,6843.294,10384.103,8070.6165,8080.276,8750.9625,3913.7095,8726.0445,7885.4075,6096.828,10114.264,5956.4215,11305.905,7696.5985,4120.724,4615.891
yacH,25.411315,22.74522,15.354915,13.204725,23.327595,14.692045,16.525665,13.094385,10.930775,7.0911765,8.3180605,6.8073985,11.5085,12.615935,4.88999,5.8525065
acnB,6347.6175,5683.058,5258.6125,4063.4785,8128.3845,6277.0875,3404.5725,4278.85,3737.302,3464.624,4216.8235,3760.951,8109.1805,4339.956,1405.08,2326.8755
yacL,632.69045,542.4975,586.42045,466.51095,558.264,524.4948,317.8064,345.4017,445.8475,222.65185,393.0184,344.3229,568.34675,403.5197,237.2074,352.76005
speD,1092.4115,970.1084,1152.7035,808.31835,906.2873,975.7069,481.9123,1870.1165,358.84025,698.43445,1270.733,454.9405,1881.79,2227.6585,296.49015,368.24815
speE,1628.922,1258.612,1800.2225,1224.0315,1256.189,1268.894,752.22185,2274.5995,782.0009,1083.4439,1596.993,835.691,2720.1925,2778.7975,450.86505,533.02945
yacC,1416.9655,1459.7035,528.67205,383.78865,1459.1525,1494.288,658.64575,1221.834,575.3798,476.765,835.264,518.96055,1404.4295,948.6153,435.53065,242.8215
cueO,147.3486,114.11325,182.652,147.70865,152.90245,135.05515,75.39044,120.11025,148.68635,58.652895,74.17712,141.2111,213.3683,125.0573,62.10225,36.86905
gcd,331.2871,220.2753,195.4517,136.95955,284.59155,221.69825,145.61475,328.8531,107.8408,180.1688,362.4599,134.9902,355.96425,137.213,38.11522,64.317035
hpt,1285.0825,1088.464,1822.5495,1050.971,1156.3235,1267.2695,447.37685,1915.7035,1453.4575,827.2091,1320.3055,952.7299,1500.4,1947.347,659.03835,458.10915
can,7491.46,5976.3015,5618.167,3434.6135,6484.169,7334.926,1879.563,9337.08,5779.2295,2784.8755,8206.8515,4719.6955,7500.7055,7287.183,2036.3295,1045.5933
yadG,316.8048,272.5988,436.4379,253.0099,351.1583,279.18605,118.18825,455.74275,368.38545,204.12085,160.01495,187.4715,373.85105,427.03505,182.96375,132.43955
yadH,393.5388,380.9808,482.81725,349.3291,441.74505,351.5411,164.85565,551.8221,475.0702,271.0107,252.66805,281.0575,476.18205,601.522,255.75415,223.6364
yadI,460.5455,449.52725,966.92275,691.37325,472.88255,396.9341,217.83135,272.1097,436.25985,229.41005,174.5924,157.9521,254.7507,614.46565,291.78795,520.39005
yadE,160.19285,134.1162,100.64215,84.26914,160.2656,117.33244,85.072575,132.2382,87.45736,87.674685,76.16864,69.98438,96.865585,136.9469,75.734395,54.23432
panD,933.7333,928.1778,392.89865,240.7581,967.94465,1055.5398,421.59295,620.26575,415.61545,264.6284,761.7567,311.47805,1333.9755,519.76375,193.25485,105.5224
yadD,81.747215,72.97264,50.40443,40.44328,96.058685,58.64232,46.469105,69.10338,45.867355,39.18671,36.72033,27.353885,52.193865,54.03964,27.24275,21.96201
panC,907.32375,793.1784,561.5797,422.8839,986.76075,970.2862,404.5254,527.8666,636.60265,324.15755,533.61895,646.34165,1095.396,446.21345,253.78075,196.85685
panB,1064.541,869.5555,527.67685,396.78145,1035.325,1032.03,532.2589,441.52015,717.05395,430.73675,738.0668,924.1915,1269.707,455.67185,351.4851,319.2439
yadC,19.428775,21.043695,10.0477975,10.066192,17.320095,8.9876845,7.6643955,20.18473,2.8413745,8.7748855,9.3394495,2.3926495,8.500243,14.03168,4.8829575,3.5285515
yadK,12.36773,12.771475,9.9663385,8.4203585,14.3656,11.77912,8.296977,11.088265,5.780501,10.7883545,5.7809665,3.178006,9.27093,12.52434,4.85937,6.6176185
yadL,19.90983,20.97261,19.824225,11.80186,20.87801,17.51483,10.398062,17.31987,11.44448,10.27307,9.8993065,5.0703595,15.224465,14.727165,6.201783,4.511748
yadM,10.17843,10.812787,9.1776495,5.555295,9.131755,9.5075005,5.0964315,8.5198055,5.433893,5.3525795,6.0029245,4.585882,7.327545,6.9478565,3.471995,4.335324
htrE,7.296729,6.400088,3.7519655,3.0238745,3.8621695,2.7471565,2.9730665,3.0036075,2.542648,2.73525,2.4618655,2.1812715,2.3453445,2.59952,2.277871,2.274086
ecpD,11.410455,9.805236,5.723832,6.0110015,7.40702,4.1982125,7.5135405,5.5154215,2.814259,3.2331515,3.872481,2.167993,4.0711605,7.0276995,2.245755,2.2570835
yadN,10.591087,10.72018,3.5234075,2.321977,8.136397,4.494799,4.3993985,7.4399025,2.550711,2.664163,4.8257535,2.3215125,2.604819,5.3791505,2.186362,2.2897845
folK,543.0126,457.4677,253.7674,220.5314,515.8797,373.45035,362.14015,444.6022,261.5076,338.1707,304.6963,333.2433,509.48935,382.46785,141.12735,130.2136
pcnB,1435.035,1220.9735,655.74365,476.33145,1318.32,978.7268,603.9137,1035.16455,621.33355,628.6959,978.389,742.27455,1397.3845,995.00595,241.90855,270.657
yadB,358.6252,318.60895,143.0351,119.94765,209.95385,190.15275,122.9316,203.1569,142.9179,151.98655,131.4872,104.44554,186.21725,237.58095,54.775105,68.048315
dksA,3353.554,3311.711,2514.48,2430.7545,2785.889,2507.898,1766.0375,2240.7915,3809.0815,1775.469,1614.997,1893.204,2366.7565,2622.92,1996.314,1307.505
